job_title,agency,grade,comprate,hire_date,appointment_type,hire_year,years_of_service,grade_numeric,comprate_range
Administrative Assistant,OCFO,11,96554.0,2006-05-01,CS - Reg,2006,20,11.0,75K-100K
Appraiser,OCFO,12,115680.0,2000-05-08,CS - Reg,2000,26,12.0,100K-125K
Budget Officer,OCFO,15,190823.0,2006-07-24,CS - Reg,2006,20,15.0,150K+
Accountant,OCFO,12,118558.0,1999-02-01,CS - Reg,1999,27,12.0,100K-125K
Supervisory Returns Processing,OCFO,12,101291.0,2025-11-03,CS - Reg,2025,1,12.0,100K-125K
Accounts Payable Director,OCFO,14,162565.0,1997-06-23,MSS - Reg,1997,29,14.0,150K+
Staff Assistant,OCME,09,72088.0,2019-10-28,CS - Reg,2019,7,9.0,50K-75K
Staff Assistant,OCFO,11,96554.0,1993-01-25,CS - Reg,1993,33,11.0,75K-100K
Pension Benefits Specialist,OCFO,11,96547.0,2009-03-16,CS - Reg,2009,17,11.0,75K-100K
Reimbursement Specialist,OCFO,12,115680.0,2025-04-21,CS - Reg,2025,1,12.0,100K-125K
Accounting Technician,OCFO,08,72721.0,2018-09-17,CS - Reg,2018,8,8.0,50K-75K
Customer Service Tax Specialis,OCFO,09,66130.0,2023-08-28,CS - Reg,2023,3,9.0,50K-75K
Program Analyst,OCFO,12,118558.0,1997-05-12,CS - Reg,1997,29,12.0,100K-125K
Information Technology Special,OCFO,13,137561.0,2006-02-06,CS - Reg,2006,20,13.0,125K-150K
Forensic Autopsy Technician,OCME,09,76070.0,2022-09-12,CS - Reg,2022,4,9.0,75K-100K
Senior Capital Budget Analyst,OCFO,13,117029.0,2023-06-20,CS - Reg,2023,3,13.0,100K-125K
Customer Service Specialist,OCFO,09,74074.0,2014-07-21,CS - Reg,2014,12,9.0,50K-75K
Assessment Program Coordinator,OCFO,11,89329.0,2014-06-16,CS - Reg,2014,12,11.0,75K-100K
Accounts Payable Supervisor,OCFO,11,96554.0,2024-01-16,CS - Reg,2024,2,11.0,75K-100K
It Specialist (Appsw),OCFO,14,162565.0,2025-09-08,CS - Reg,2025,1,14.0,150K+
Senior Criminal Investigator,OCFO,14,158522.0,2008-08-18,CS - Reg,2008,18,14.0,150K+
"Hr Specialist, Systems & Repor",OCFO,11,74893.0,2023-02-27,CS - Reg,2023,3,11.0,50K-75K
Staff Assistant,OCFO,09,72088.0,2018-04-02,CS - Reg,2018,8,9.0,50K-75K
Audit Manager,OCFO,14,162565.0,2004-12-27,CS - Reg,2004,22,14.0,150K+
Customer Service Tax Specialis,OCFO,09,62158.0,2023-12-04,CS - Reg,2023,3,9.0,50K-75K
Operating Budget Manager,OCFO,15,190823.0,2011-04-25,CS - Reg,2011,15,15.0,150K+
Financial Analyst,OCFO,11,89333.0,2024-03-11,CS - Reg,2024,2,11.0,75K-100K
Special Assistant,OCME,12,88300.0,2017-06-26,CS - Reg,2017,9,12.0,75K-100K
Lead Assessment Program Specia,OCFO,12,112802.0,1988-06-06,CS - Reg,1988,38,12.0,100K-125K
Payroll Technician,OCFO,08,72721.0,1993-09-08,CS - Reg,1993,33,8.0,50K-75K
Appraiser,OCFO,13,137561.0,1987-10-26,CS - Reg,1987,39,13.0,125K-150K
Sports Betting Product Manager,OCFO,12,104168.0,2020-08-31,CS - Reg,2020,6,12.0,100K-125K
Legal Instruments Examiner,OCFO,08,63711.0,2014-11-17,CS - Reg,2014,12,8.0,50K-75K
Accounting Technician,OCFO,08,72721.0,2018-07-23,CS - Reg,2018,8,8.0,50K-75K
Budget Analyst,OCFO,11,94148.0,2023-11-06,CS - Reg,2023,3,11.0,75K-100K
Pension Manager,OCFO,13,137565.0,2002-10-07,CS - Reg,2002,24,13.0,125K-150K
Auditor (Tax),OCFO,12,112802.0,2012-06-18,CS - Reg,2012,14,12.0,100K-125K
Tax Fraud Specialist,OCFO,12,109924.0,2009-03-31,CS - Reg,2009,17,12.0,100K-125K
Tax Examining Technician,OCFO,09,80032.0,1985-07-01,CS - Reg,1985,41,9.0,75K-100K
Collections Representative,OCFO,09,80032.0,2025-11-03,CS - Reg,2025,1,9.0,75K-100K
Accounts Payable Technician,OCFO,07,53246.0,2024-04-22,CS - Reg,2024,2,7.0,50K-75K
Audit Manager,OCFO,14,162565.0,2019-02-04,CS - Reg,2019,7,14.0,150K+
"Manager, Budget System Operati",OCFO,15,181345.0,2000-11-19,CS - Reg,2000,26,15.0,150K+
Accountant,OCFO,12,95540.0,2025-09-22,CS - Reg,2025,1,12.0,75K-100K
"Executive Director, Human Reso",OCFO,17,225100.0,2008-11-10,CS - Reg,2008,18,17.0,150K+
Accountant,OCFO,12,118558.0,2008-07-21,CS - Reg,2008,18,12.0,100K-125K
Contract Specialist,OCP,11,74893.0,2025-04-07,CS - Reg,2025,1,11.0,50K-75K
Contract Specialist,OCP,12,98412.0,2023-06-05,CS - Reg,2023,3,12.0,75K-100K
Forensic Autopsy Technician,OCME,09,78058.0,2007-04-30,CS - Reg,2007,19,9.0,75K-100K
Forensic Photographer,OCME,12,98322.0,2014-06-16,CS - Reg,2014,12,12.0,75K-100K
Telecomms Spec,OCTO,12,103333.0,2015-09-21,CS - Reg,2015,11,12.0,100K-125K
Contract Specialist,OCP,12,101290.0,2020-06-01,CS - Reg,2020,6,12.0,100K-125K
Supvy It Specialist (Security),OCTO,16,192000.0,2005-04-04,MSS - Reg,2005,21,16.0,150K+
Administrative Support Spec.,ODR,12,98322.0,2020-05-11,CS - Reg,2020,6,12.0,75K-100K
Chief Of Staff,ODR,14,130000.0,2005-10-17,MSS - Reg,2005,21,14.0,125K-150K
It Specialist,OCTO,14,131138.0,2024-06-17,CS - Reg,2024,2,14.0,125K-150K
Contracts Specialist,OCP,13,113607.0,2022-03-28,CS - Reg,2022,4,13.0,100K-125K
Supervisory Contract Specialis,OCP,14,129612.32,2019-07-08,MSS - Reg,2019,7,14.0,125K-150K
Executive Assistant,OCME,11,77873.0,2012-03-12,CS - Reg,2012,14,11.0,75K-100K
Contract Specialist,OCP,13,110185.0,2022-07-05,CS - Reg,2022,4,13.0,100K-125K
Accountant,OFRM,12,118558.0,2024-09-23,CS - Reg,2024,2,12.0,100K-125K
Forensic Identification Specia,OCME,09,74074.0,2008-03-03,CS - Reg,2008,18,9.0,50K-75K
Forensic Toxicologist,OCME,13,105001.0,2022-01-03,CS - Reg,2022,4,13.0,100K-125K
Lead Info. Technology Spec.,OCTO,11,82069.0,2013-06-03,CS - Reg,2013,13,11.0,75K-100K
Telecommunications Specialist,OCTO,14,134661.0,2016-09-26,CS - Reg,2016,10,14.0,125K-150K
Telecomms Spec,OCTO,12,95816.0,2016-05-02,CS - Reg,2016,10,12.0,75K-100K
Supervisory Contract Specialis,OCP,14,143727.61,2008-10-27,MSS - Reg,2008,18,14.0,125K-150K
Business Operations Specialist,OCP,13,113950.0,2013-06-03,CS - Reg,2013,13,13.0,100K-125K
Telecommunications Spec.,OCTO,15,147846.8,2016-10-03,CS - Reg,2016,10,15.0,125K-150K
Supervisory Contract Specialis,OCP,14,122890.33,2019-06-10,MSS - Reg,2019,7,14.0,100K-125K
Information Technology Spec.,OCTO,12,93311.0,2019-05-28,CS - Reg,2019,7,12.0,75K-100K
Administrative Support Special,ODR,12,88300.0,2023-10-23,CS - Term,2023,3,12.0,75K-100K
Contract Specialist,OCP,12,92656.0,2025-02-10,CS - Reg,2025,1,12.0,75K-100K
Project Coordinator,OCTO,12,88300.0,2019-09-30,CS - Reg,2019,7,12.0,75K-100K
Administrative Support Special,OCP,11,71579.0,2022-12-05,CS - Reg,2022,4,11.0,50K-75K
Telecommunications Specialist,OCTO,11,77873.0,2016-05-02,CS - Reg,2016,10,11.0,75K-100K
Forensic Investigator,OCME,12,118558.0,2009-12-21,CS - Reg,2009,17,12.0,100K-125K
Contract Specialist,OCP,12,92656.0,2025-04-21,CS - Reg,2025,1,12.0,75K-100K
Supervisory Contract Specialis,OCP,14,131556.5,2017-02-06,MSS - Reg,2017,9,14.0,125K-150K
Equal Opportunity Specialist,OHR,12,85794.0,2022-02-28,CS - Reg,2022,4,12.0,75K-100K
Management Analyst,OCP,13,119916.0,2010-05-24,CS - Reg,2010,16,13.0,100K-125K
Chief Of Staff,OCTO,16,191129.46,2002-04-08,MSS - Reg,2002,24,16.0,150K+
Telecomms Spec,OCTO,12,95816.0,2016-05-31,CS - Reg,2016,10,12.0,75K-100K
Administrative Support Special,OHR,14,141707.0,2005-06-27,CS - Reg,2005,21,14.0,125K-150K
Interpreter (Sign Language),ODR,12,85794.0,2024-09-09,CS - Term,2024,2,12.0,75K-100K
Telecomms Spec,OCTO,13,119916.0,2008-04-14,CS - Reg,2008,18,13.0,100K-125K
Contract Specialist,OCP,11,86923.0,2015-03-23,CS - Reg,2015,11,11.0,75K-100K
Contract Specialist,OCP,13,123873.0,2022-07-05,CS - Reg,2022,4,13.0,100K-125K
Contract Specialist,OCP,13,123873.0,2020-03-16,CS - Reg,2020,6,13.0,100K-125K
Contract Specialist,OCP,13,134139.0,2014-08-25,CS - Reg,2014,12,13.0,125K-150K
Senior Policy Advisor,OHR,14,124091.0,2019-10-28,CS - Reg,2019,7,14.0,100K-125K
Telecomms Spec,OCTO,12,95816.0,2016-06-13,CS - Reg,2016,10,12.0,75K-100K
Contract Specialist,OCP,13,117029.0,2025-04-21,CS - Reg,2025,1,13.0,100K-125K
Contract Specialist,OCP,12,98412.0,2025-11-03,CS - Reg,2025,1,12.0,75K-100K
Project Coor,OCTO,12,98322.0,2012-01-17,CS - Reg,2012,14,12.0,75K-100K
Information Technology Spec.,OCTO,12,90805.0,2016-05-31,CS - Reg,2016,10,12.0,75K-100K
Senior Accountant,OFRM,13,123874.0,2020-01-21,CS - Reg,2020,6,13.0,100K-125K
Freedom Of Information Spec,OCP,12,118558.0,2013-05-20,CS - Reg,2013,13,12.0,100K-125K
Program Manager,OCTO,15,164746.28,2005-08-22,CS - Reg,2005,21,15.0,150K+
Forensic Investigator,OCME,12,118558.0,2008-02-19,CS - Reg,2008,18,12.0,100K-125K
It Specialist,OIG,13,105001.0,2016-05-31,CS - Reg,2016,10,13.0,100K-125K
Program Support Asst (Oa),ODR,07,52648.0,2017-01-09,CS - Reg,2017,9,7.0,50K-75K
Telecommunications Specialist,OCTO,14,141707.0,2008-11-24,CS - Reg,2008,18,14.0,125K-150K
Program Analyst (Bilingual),OHR,12,98322.0,2009-04-13,CS - Reg,2009,17,12.0,75K-100K
Supervisory It Specialist (Dat,OCTO,16,189460.06,2019-09-16,MSS - Reg,2019,7,16.0,150K+
Contract Specialist,OCP,13,127295.0,2006-10-02,CS - Reg,2006,20,13.0,125K-150K
Supervisory Contract Specialis,OCP,15,143770.91,2019-05-13,MSS - Reg,2019,7,15.0,125K-150K
Information Technology Spec.,OCTO,12,108199.0,2022-05-09,CS - Reg,2022,4,12.0,100K-125K
Chief Contracting Officer,OCP,16,187527.6,2022-05-23,MSS - Reg,2022,4,16.0,150K+
Equal Opportunity Specialist,OHR,12,103333.0,2016-05-16,CS - Reg,2016,10,12.0,100K-125K
Attorney Advisor,OCTO,12,103514.0,2023-01-17,LS - Reg,2023,3,12.0,100K-125K
It Specialist (Customer Suppor,OCTO,11,73677.0,2024-05-20,CS - Reg,2024,2,11.0,50K-75K
Information Technology Special,OCTO,13,119916.0,2010-03-29,CS - Reg,2010,16,13.0,100K-125K
Executive Assistant,OCP,12,93311.0,2022-10-11,CS - Reg,2022,4,12.0,75K-100K
Staff Assistant,OCTO,09,61110.0,2017-05-01,CS - Reg,2017,9,9.0,50K-75K
I T Project Manager,OCTO,14,127615.0,2018-09-04,CS - Reg,2018,8,14.0,125K-150K
Attorney Advisor,OHR,12,113540.0,2023-06-05,LS - Reg,2023,3,12.0,100K-125K
Pgm Mgr,OCTO,15,132624.71,1999-09-13,CS - Reg,1999,27,15.0,125K-150K
Supervisory Contract Specialis,OCP,14,122764.0,2023-09-11,MSS - Reg,2023,3,14.0,100K-125K
Management Analyst,OCP,13,119916.0,2014-10-20,CS - Reg,2014,12,13.0,100K-125K
It Specialist (Network Svcs.),OCTO,13,107984.0,2016-11-14,CS - Reg,2016,10,13.0,100K-125K
Supervisory Contract Specialis,OCP,15,148000.0,2024-09-23,CS - Reg,2024,2,15.0,125K-150K
Equal Opportunity Specialist,OHR,12,93311.0,2016-01-25,CS - Reg,2016,10,12.0,75K-100K
Equal Opportunity Specialist,OHR,12,98322.0,2007-06-25,CS - Reg,2007,19,12.0,75K-100K
Contract Specialist,OCP,12,104168.0,2014-06-23,CS - Reg,2014,12,12.0,100K-125K
Staff Assistant,OHR,09,66130.0,2015-11-30,CS - Reg,2015,11,9.0,50K-75K
Program Analyst,ORM,11,96547.0,1980-04-11,CS - Reg,1980,46,11.0,75K-100K
Financial Analyst,OSSE,13,116933.0,2004-06-24,Ed - Reg,2004,22,13.0,100K-125K
Management Analyst,OSSE,13,105001.0,2022-04-25,Ed - Reg,2022,4,13.0,100K-125K
Attorney Advisor,ORM,13,134416.0,2017-04-10,LS - Reg,2017,9,13.0,125K-150K
Management Analyst,OSSE,13,99035.0,2024-02-12,Ed - Reg,2024,2,13.0,75K-100K
Attorney Advisor,OLRCB,12,103875.0,2025-01-13,LS - Reg,2025,1,12.0,100K-125K
Management Analyst,OSSE,12,100827.0,2016-10-17,Ed - Reg,2016,10,12.0,100K-125K
Early Intervention Program Man,OSSE,14,132139.0,2015-10-19,MSS - Reg,2015,11,14.0,125K-150K
Asset Specialist,ONSE,14,127615.0,2008-01-22,CS - Reg,2008,18,14.0,125K-150K
Return To Work Specialist,ORM,11,77873.0,2019-06-24,CS - Term,2019,7,11.0,75K-100K
Management And Program Analyst,OIG,12,83289.0,2022-04-11,CS - Reg,2022,4,12.0,75K-100K
Early Intervention Service Coo,OSSE,12,90805.0,2022-02-14,Ed - Reg,2022,4,12.0,75K-100K
Education Research Analyst,OSSE,13,107984.0,2021-09-13,Ed - Reg,2021,5,13.0,100K-125K
Supervisory It Specialist,OSSE,14,159074.26,2005-02-07,MSS - Reg,2005,21,14.0,150K+
Education Program Specialist,OSSE,13,99035.0,2023-01-30,Ed - Reg,2023,3,13.0,75K-100K
Supervisory Policy Specialist,OSSE,14,125884.57,2012-07-16,MSS - Reg,2012,14,14.0,125K-150K
Administrative Officer,OLRCB,13,119916.0,1998-09-16,CS - Reg,1998,28,13.0,100K-125K
Career & Tech. Educ. Director,OSSE,14,145000.0,2015-11-16,MSS - Reg,2015,11,14.0,125K-150K
It Specialist (Network),OSSE,13,105001.0,2006-10-16,Ed - Reg,2006,20,13.0,100K-125K
Customer Service Specialist,OLG,11,96554.0,2023-11-06,CS - Reg,2023,3,11.0,75K-100K
Chief Of Staff,OLRCB,14,160216.0,2012-04-03,MSS - Reg,2012,14,14.0,150K+
Outreach Services Program Spec,ONSE,11,84167.0,2006-09-11,CS - Reg,2006,20,11.0,75K-100K
Program Manager,OSSE,14,120000.0,2023-07-31,MSS - Term,2023,3,14.0,100K-125K
Management Analyst,OSSE,12,95816.0,2008-01-07,Ed - Reg,2008,18,12.0,75K-100K
Development Review Specialist,OP,14,146393.0,2006-02-06,CS - Reg,2006,20,14.0,125K-150K
Management Analyst,OSSE,12,88300.0,2025-03-10,CS - Term,2025,1,12.0,75K-100K
Senior Dev Zoning Planning,OP,15,150713.22,2002-06-03,MSS - Reg,2002,24,15.0,150K+
Safety & Occup. Health Spec.,ORM,11,86923.0,2023-01-03,CS - Term,2023,3,11.0,75K-100K
Program Specialist (Insurance),ORM,12,100827.0,2022-02-28,CS - Reg,2022,4,12.0,100K-125K
"Chief Of Marketing, Partnershi",OLG,14,162565.0,2011-07-05,CS - Reg,2011,15,14.0,150K+
Policy Analyst,OP,12,92656.0,2025-08-25,CS - Term,2025,1,12.0,75K-100K
It Specialist,OSSE,14,141707.0,2008-10-27,CS - Reg,2008,18,14.0,125K-150K
Program Specialist,OSSE,12,90805.0,2024-08-26,Ed - Reg,2024,2,12.0,75K-100K
Workers' Comp Claims Examiner,ORM,09,64574.0,2025-10-06,CS - Term,2025,1,9.0,50K-75K
Staff Assistant,OSSE,09,69770.0,2013-05-06,Ed - Reg,2013,13,9.0,50K-75K
Program Support Specialist,ONSE,09,55915.0,2024-11-18,CS - Term,2024,2,9.0,50K-75K
Early Intervention Service Coo,OSSE,12,95816.0,2017-12-11,Ed - Reg,2017,9,12.0,75K-100K
"Executive Director, Office Of",ONSE,09,196139.39,2008-05-11,Exe - Reg,2008,18,9.0,150K+
Executive Director,OOC,10,176252.6,2022-12-05,ExS - Reg,2022,4,10.0,150K+
Early Intervention Specialist,OSSE,12,103333.0,2011-10-24,Ed - Reg,2011,15,12.0,100K-125K
Criminal Investigator,OIG,13,119916.0,2008-11-24,CS - Reg,2008,18,13.0,100K-125K
Management Analyst,OSSE,12,93311.0,2024-07-15,Ed - Term,2024,2,12.0,75K-100K
Staff Assistant,OS,09,59378.0,2016-10-17,CS - Reg,2016,10,9.0,50K-75K
Accounting Officer,OSSE,14,162565.0,2025-08-25,CS - Reg,2025,1,14.0,150K+
Management And Program Analyst,OIG,11,71579.0,2011-06-22,CS - Reg,2011,15,11.0,50K-75K
Workers' Comp Claims Examiner,ORM,11,82069.0,2018-08-01,CS - Reg,2018,8,11.0,75K-100K
Program Analyst,ORM,11,82069.0,2016-11-28,CS - Reg,2016,10,11.0,75K-100K
Program Analyst,ORM,12,103333.0,2019-06-24,CS - Reg,2019,7,12.0,100K-125K
Investigator,OSSE,13,107984.0,2013-09-09,Ed - Reg,2013,13,13.0,100K-125K
Management Analyst,OSSE,12,88300.0,2025-04-21,Ed - Reg,2025,1,12.0,75K-100K
Community Outreach Specialist,OPC,11,79971.0,2023-10-23,CS - Reg,2023,3,11.0,75K-100K
Chief Of Customer Service,OLG,13,137565.0,2006-09-18,CS - Reg,2006,20,13.0,125K-150K
Program Support Specialist,OPC,09,62842.0,2022-05-09,CS - Reg,2022,4,9.0,50K-75K
Asst Superintendant Postsecond,OSSE,16,175572.4,2009-01-05,MSS - Reg,2009,17,16.0,150K+
Human Resources Manager,ONSE,14,120000.0,2015-08-10,MSS - Temp,2015,11,14.0,100K-125K
Community Planner,OP,13,113607.0,2024-09-09,CS - Reg,2024,2,13.0,100K-125K
Sales Coordinator,OLG,12,112802.0,2017-08-21,CS - Reg,2017,9,12.0,100K-125K
Archeologist,OP,12,118558.0,2007-07-09,CS - Reg,2007,19,12.0,100K-125K
Chief Of Staff,OSA,09,132057.34,2006-03-02,ExS - Reg,2006,20,9.0,125K-150K
Assoc Dir,OP,15,147000.0,2019-04-15,MSS - Reg,2019,7,15.0,125K-150K
Senior Advisor,OSA,11,246930.0,2009-04-13,Exe - Reg,2009,17,11.0,150K+
"Director, Policy, Planning And",OSSE,15,153022.52,2019-04-01,CS - Reg,2019,7,15.0,150K+
Management Analyst,OSSE,12,88300.0,2024-02-26,Ed - Reg,2024,2,12.0,75K-100K
Strategic Plan. & Perf. Ofcer.,ONSE,14,147000.0,2006-12-10,MSS - Reg,2006,20,14.0,125K-150K
Staff Assistant,OIG,11,84167.0,1996-07-09,CS - Reg,1996,30,11.0,75K-100K
Program Administrator,ORM,16,156668.6,2018-05-29,MSS - Reg,2018,8,16.0,150K+
Supervisory Attorney Advisor,OSSE,01,190489.83,2009-01-05,LS - Reg,2009,17,1.0,150K+
Licensing Program Specialist (,OLG,09,78046.0,2024-12-16,CS - Term,2024,2,9.0,75K-100K
Program Manager,OSSE,13,119415.0,2008-02-16,MSS - Reg,2008,18,13.0,100K-125K
Wae - Product Specialist,OLG,12,92664.0,2025-01-27,CS - Temp,2025,1,12.0,75K-100K
Dir Of Planning,OP,E4,202052.27,2003-12-29,Exe - Reg,2003,23,,150K+
Historian (Architectural),OP,12,95534.0,2024-03-11,CS - Reg,2024,2,12.0,75K-100K
Dev Review Spec,OP,14,162565.0,2000-09-05,CS - Reg,2000,26,14.0,150K+
Special Assistant,OSSE,14,141707.0,2011-07-18,Ed - Reg,2011,15,14.0,125K-150K
Program Specialist,OSSE,12,83289.0,2018-09-17,Ed - Reg,2018,8,12.0,75K-100K
Supervisory Public Affairs Spe,OSSE,13,106280.89,2021-04-26,MSS - Reg,2021,5,13.0,100K-125K
Supvy. Criminal Investigator,OIG,14,150000.0,1990-10-09,MSS - Reg,1990,36,14.0,125K-150K
Attorney Advisor,OSSE,15,176637.0,2022-12-05,LS - Reg,2022,4,15.0,150K+
Criminal Investigator,OIG,12,88300.0,2023-05-08,CS - Reg,2023,3,12.0,75K-100K
Training Specialist,ONSE,12,88300.0,2016-09-19,CS - Term,2016,10,12.0,75K-100K
Knowledge Management Officer,OIG,14,117045.0,2023-09-11,CS - Reg,2023,3,14.0,100K-125K
Supervisory Public Affairs Spc,OHR,14,114441.0,2017-01-23,MSS - Reg,2017,9,14.0,100K-125K
Contract Specialist,OCP,13,123873.0,2013-12-02,CS - Reg,2013,13,13.0,100K-125K
It Specialist (Data Mgmt),OCP,12,103333.0,1989-02-13,CS - Reg,1989,37,12.0,100K-125K
Information Technology Spec.,OCTO,12,95816.0,2019-05-28,CS - Reg,2019,7,12.0,75K-100K
Contract Specialist,OCP,13,120451.0,2017-06-12,CS - Reg,2017,9,13.0,100K-125K
Information Technology Spec.,OCTO,12,103333.0,2010-04-12,CS - Reg,2010,16,12.0,100K-125K
Chief Administrative Officer,OHR,15,165878.0,2000-10-10,MSS - Reg,2000,26,15.0,150K+
It Project Manager,OCTO,15,124146.24,2006-08-21,CS - Reg,2006,20,15.0,100K-125K
Program Manager,OHR,14,117000.0,2017-12-11,MSS - Reg,2017,9,14.0,100K-125K
Supervisory It Specialist,OCTO,14,114441.0,2023-12-04,MSS - Reg,2023,3,14.0,100K-125K
Lead Forensic Investigator,OCME,13,107984.0,2017-01-23,CS - Reg,2017,9,13.0,100K-125K
Contract Specialist,OCP,12,109924.0,2006-12-11,CS - Reg,2006,20,12.0,100K-125K
Chief Technology Officer,OCTO,E5,231631.0,2006-03-13,Exe - Reg,2006,20,,150K+
Information Technology Spec.,OCTO,12,107983.65,2022-06-06,CS - Reg,2022,4,12.0,100K-125K
Alternative Dispute Resolution,OHR,12,85794.0,2025-02-24,CS - Term,2025,1,12.0,75K-100K
Human Resources Manager,OCP,14,136000.0,2019-10-15,MSS - Reg,2019,7,14.0,125K-150K
Supervisory Contract Specialis,OCP,15,156451.59,2022-04-25,MSS - Reg,2022,4,15.0,150K+
It Specialist,OCTO,11,71579.0,1996-10-22,CS - Reg,1996,30,11.0,50K-75K
Information Technology Spec.,OCTO,15,158487.61,2019-04-29,CS - Reg,2019,7,15.0,150K+
Contract Specialist,OCP,13,110185.0,2023-08-14,CS - Reg,2023,3,13.0,100K-125K
Telecommunications Specialist,OCTO,14,141707.0,2003-05-05,CS - Reg,2003,23,14.0,125K-150K
It Specialist (Security),OCTO,15,155093.95,2012-04-09,CS - Reg,2012,14,15.0,150K+
Supervisory It Specialist,OCTO,14,155878.14,2013-09-23,MSS - Reg,2013,13,14.0,150K+
Contract Specialist,OCP,13,117029.0,2014-01-13,CS - Reg,2014,12,13.0,100K-125K
It Specialist,OCTO,14,127615.0,2019-06-24,CS - Reg,2019,7,14.0,125K-150K
Program Analyst,OCTO,14,141707.0,2007-04-02,CS - Reg,2007,19,14.0,125K-150K
Senior Hearing Examiner,OEA,15,186840.0,1998-08-03,LS - Reg,1998,28,15.0,150K+
Info Tech Spec,OCTO,15,150584.6,2004-07-12,CS - Reg,2004,22,15.0,150K+
Compliance Analyst,OCP,12,103333.0,2010-12-06,CS - Reg,2010,16,12.0,100K-125K
It Specialist,OCTO,11,69481.0,2024-06-17,CS - Reg,2024,2,11.0,50K-75K
Information Technology Spec.,OCTO,15,155093.95,2012-02-13,CS - Reg,2012,14,15.0,150K+
It Specialist (Data Mgmt),OCP,12,93311.0,2019-02-04,CS - Reg,2019,7,12.0,75K-100K
Info. Technology Specialist,OCTO,14,141707.0,2010-07-19,CS - Reg,2010,16,14.0,125K-150K
Contract Specialist,OCP,13,127295.0,2013-01-14,MSS - Reg,2013,13,13.0,125K-150K
Telecommunications Specialist,OCTO,12,85794.0,2025-05-05,CS - Reg,2025,1,12.0,75K-100K
Supervisory It Specialist,OCTO,14,136500.0,2010-07-19,MSS - Reg,2010,16,14.0,125K-150K
Contract Specialist,OCP,09,70102.0,2023-09-25,CS - Reg,2023,3,9.0,50K-75K
Info Tech Spec,OCTO,15,161556.2,2007-12-10,CS - Reg,2007,19,15.0,150K+
Supervisory Contract Specialis,OCP,15,163691.82,2020-03-30,MSS - Reg,2020,6,15.0,150K+
Information Technology Spec.,OCTO,12,100827.0,2018-04-02,CS - Reg,2018,8,12.0,100K-125K
Contract Specialist,OCP,13,117029.0,2025-04-07,CS - Reg,2025,1,13.0,100K-125K
Program Support Specialist,OHR,11,73677.0,2024-11-18,CS - Term,2024,2,11.0,50K-75K
Compliance Review & Trng Ofcr.,OHR,13,99035.0,2016-10-17,CS - Reg,2016,10,13.0,75K-100K
Information Technology Spec.,OCTO,12,88300.0,2022-11-21,CS - Reg,2022,4,12.0,75K-100K
Attorney Advisor,ODR,13,119890.0,2024-01-02,LS - Reg,2024,2,13.0,100K-125K
Supervisory Contract Specialis,OCP,15,155020.91,2001-10-09,MSS - Reg,2001,25,15.0,150K+
Project Coor,OCTO,12,100827.0,2008-04-14,CS - Reg,2008,18,12.0,100K-125K
Property Disposal Specialist,OCP,12,90805.0,2024-07-15,CS - Reg,2024,2,12.0,75K-100K
Forensic Photographer,OCME,12,83289.0,2024-07-29,CS - Term,2024,2,12.0,75K-100K
Forensic Investigator,OCME,12,109924.0,2017-08-07,CS - Reg,2017,9,12.0,100K-125K
Contract Specialist,OCP,11,82111.0,2013-11-18,CS - Reg,2013,13,11.0,75K-100K
Forensic Investigator,OCME,12,104168.0,2003-02-10,CS - Reg,2003,23,12.0,100K-125K
It Specialist,OCTO,14,141707.0,2008-03-17,CS - Reg,2008,18,14.0,125K-150K
Program Support Specialist,OHR,09,68116.0,2024-11-18,CS - Term,2024,2,9.0,50K-75K
Supervisory It Specialist (Net,OCTO,15,163952.7,2019-01-07,MSS - Reg,2019,7,15.0,150K+
Contract Specialist,OCP,12,107046.0,2014-01-13,CS - Reg,2014,12,12.0,100K-125K
It Specialist,OCTO,11,71579.0,2018-10-16,CS - Reg,2018,8,11.0,50K-75K
It Specialist,OCTO,14,141707.0,2016-09-06,CS - Reg,2016,10,14.0,125K-150K
It Specialist (Network),OCTO,14,141707.0,2008-10-27,CS - Reg,2008,18,14.0,125K-150K
Training Specialist,OHR,12,90805.0,2019-03-18,CS - Reg,2019,7,12.0,75K-100K
Supervisory Contract Specialis,OCP,14,140845.95,2001-05-07,MSS - Reg,2001,25,14.0,125K-150K
It Specialist (App Software),OCTO,14,141707.0,2007-11-13,CS - Reg,2007,19,14.0,125K-150K
Forensic Investigator,OCME,12,98412.0,2023-05-22,CS - Reg,2023,3,12.0,75K-100K
Supervisory Equal Opportunity,OHR,14,137647.81,2000-12-18,MSS - Reg,2000,26,14.0,125K-150K
Forensic Autopsy Transport Tec,OCME,08,63709.0,2025-08-11,CS - Reg,2025,1,8.0,50K-75K
Information Technology Special,OCTO,15,143414.09,2005-05-31,CS - Reg,2005,21,15.0,125K-150K
Staff Assistant,OCTO,09,64574.0,2010-05-20,CS - Reg,2010,16,9.0,50K-75K
Information Technology Spec.,OCTO,09,62842.0,2018-03-19,CS - Reg,2018,8,9.0,50K-75K
Supervisor Attorney Advisor,OCP,01,172750.13,2014-12-15,LS - Reg,2014,12,1.0,150K+
Forensic Toxicologist,OCME,12,95816.0,2016-03-21,CS - Reg,2016,10,12.0,75K-100K
It Project Manager,OCTO,14,141707.0,2008-10-27,CS - Reg,2008,18,14.0,125K-150K
