job_title,agency,grade,comprate,hire_date,appointment_type,hire_year,years_of_service,grade_numeric,comprate_range
Lead Comm Behavioral Hlth Spec,DBH,12,98412.0,2020-11-09,CS - Reg,2020,6,12.0,75K-100K
Behavioral Health Technician,DBH,08,63711.0,2019-11-25,CS - Reg,2019,7,8.0,50K-75K
Social Worker,DBH,12,115680.0,2012-07-02,CS - Reg,2012,14,12.0,100K-125K
Behavioral Health Technician,DBH,08,72721.0,1992-02-21,CS - Reg,1992,34,8.0,50K-75K
Psychiatric Nurse,DBH,09,115907.0,2016-02-22,CS - Reg,2016,10,9.0,100K-125K
Staff Assistant,DBH,09,68116.0,2022-10-11,CS - Reg,2022,4,9.0,50K-75K
Psychiatric Nurse,DBH,09,115907.0,2011-08-15,CS - Reg,2011,15,9.0,100K-125K
Social Worker,DBH,12,115680.0,2005-08-08,CS - Reg,2005,21,12.0,100K-125K
Psychiatric Nurse,DBH,09,108430.0,2013-06-03,CS - Reg,2013,13,9.0,100K-125K
Medical Officer (Psychiatry),DBH,5C,390232.0,2018-12-03,CS - Reg,2018,8,,150K+
Co-Response Crisis Specialist,DBH,12,98412.0,2023-10-10,CS - Reg,2023,3,12.0,75K-100K
Training Program Coordinator,DBH,12,112802.0,1987-09-28,CS - Reg,1987,39,12.0,100K-125K
Psychiatric Nurse,DBH,09,112169.0,2012-12-03,CS - Reg,2012,14,9.0,100K-125K
Psychiatric Nurse,DBH,09,100952.0,2022-05-09,CS - Reg,2022,4,9.0,100K-125K
Behavioral Health Technician,DBH,08,63711.0,2021-04-26,CS - Reg,2021,5,8.0,50K-75K
Creative Arts Therapist (Music,DBH,11,94134.0,2020-12-07,CS - Reg,2020,6,11.0,75K-100K
Medical Records Tech,DBH,08,72721.0,2001-04-10,CS - Reg,2001,25,8.0,50K-75K
Medical Records Tech,DBH,08,60107.0,2000-05-08,CS - Term,2000,26,8.0,50K-75K
Peer Support Specialist,DBH,09,66130.0,2023-08-14,CS - Reg,2023,3,9.0,50K-75K
Psychiatric Nurse,DBH,09,112169.0,2012-11-05,CS - Reg,2012,14,9.0,100K-125K
Medical Officer (Psychiatry),DBH,5B,341419.0,2019-07-01,CS - Term,2019,7,,150K+
Investigative Analysis Special,DBH,13,134139.0,2004-10-18,CS - Reg,2004,22,13.0,125K-150K
Evaluation And Quality Coord,DBH,13,137561.0,2007-08-13,CS - Reg,2007,19,13.0,125K-150K
Special Police Officer,DBH,08,75787.0,2016-05-02,CS - Reg,2016,10,8.0,75K-100K
Behavioral Health Technician,DBH,08,72721.0,2008-07-21,CS - Reg,2008,18,8.0,50K-75K
It Specialist (Appsw),DBH,12,109924.0,2016-04-04,CS - Reg,2016,10,12.0,100K-125K
Special Police Officer,DBH,08,68455.0,2016-06-27,CS - Reg,2016,10,8.0,50K-75K
Maintenance Mechanic,DBH,10,34.39,2018-06-25,CS - Reg,2018,8,10.0,Under 50K
Supervisor Recreation Therapis,DBH,13,99513.59,1999-12-06,MSS - Reg,1999,27,13.0,75K-100K
Clinical Administrator,DBH,13,129509.9,2007-11-13,MSS - Reg,2007,19,13.0,125K-150K
Psychiatric Nurse,DBH,09,97212.0,2025-05-05,CS - Reg,2025,1,9.0,75K-100K
Information Technology Special,DBH,12,107046.0,2014-07-14,CS - Reg,2014,12,12.0,100K-125K
Medical Officer (Psychiatry),DBH,5B,360697.0,2014-07-01,CS - Reg,2014,12,,150K+
Health Education Training Spec,DBH,12,112802.0,2014-11-03,CS - Reg,2014,12,12.0,100K-125K
"Deputy Director, Rehab Service",DBH,13,99513.95,1996-12-23,MSS - Reg,1996,30,13.0,75K-100K
Accountant,DBH,12,118558.0,2011-11-21,CS - Reg,2011,15,12.0,100K-125K
Housekeeping Aide,DBH,03,22.63,2022-11-21,CS - Reg,2022,4,3.0,Under 50K
Special Police Officer,DBH,08,81286.0,1993-07-26,CS - Reg,1993,33,8.0,75K-100K
Social Worker,DBH,12,107046.0,2018-04-30,CS - Reg,2018,8,12.0,100K-125K
Grants Management Director,DBH,15,158129.84,2004-01-12,MSS - Reg,2004,22,15.0,150K+
Recovery Advocate,DBH,07,53244.0,2024-10-21,CS - Reg,2024,2,7.0,50K-75K
Housekeeping Aide,DBH,03,26.13,2012-05-07,CS - Reg,2012,14,3.0,Under 50K
Motor Vehicle Operator,DBH,07,30.88,1981-12-21,CS - Reg,1981,45,7.0,Under 50K
Social Worker,DBH,12,112802.0,2013-08-12,CS - Reg,2013,13,12.0,100K-125K
It Specialist (Data Mgmt),DBH,14,138307.0,2022-08-29,CS - Reg,2022,4,14.0,125K-150K
Chief Operating Officer,DBH,16,191278.0,2008-01-22,MSS - Reg,2008,18,16.0,150K+
Information Technology Special,DBH,13,137561.0,2007-10-29,CS - Reg,2007,19,13.0,125K-150K
Clinical Supervisor,DBH,13,119416.0,2015-06-29,MSS - Reg,2015,11,13.0,100K-125K
Recreation Therapist,DBH,12,121434.0,2009-09-28,CS - Reg,2009,17,12.0,100K-125K
Network Development Spec,DBH,13,137561.0,1987-05-11,CS - Reg,1987,39,13.0,125K-150K
Mental Health Counselor,DBH,08,63711.0,2020-10-19,CS - Reg,2020,6,8.0,50K-75K
Chief Of Staff,DBH,16,197337.84,1991-01-02,MSS - Reg,1991,35,16.0,150K+
Housekeeping Aide,DBH,03,24.73,2017-05-01,CS - Reg,2017,9,3.0,Under 50K
Medical Officer Psych Res,DBH,00,84504.0,2022-07-01,CS - Temp,2022,4,0.0,75K-100K
Housekeeping Aide,DBH,03,23.33,2021-09-13,CS - Reg,2021,5,3.0,Under 50K
Behavioral Health Technician,DBH,08,65513.0,2012-10-01,CS - Reg,2012,14,8.0,50K-75K
Program Monitor,DBH,11,94141.0,1981-05-27,CS - Reg,1981,45,11.0,75K-100K
"Chief, Data & Perform Mgmt",DBH,15,152434.37,2005-03-21,MSS - Reg,2005,21,15.0,150K+
Psychiatric Nurse,DBH,09,93473.0,2025-02-10,CS - Reg,2025,1,9.0,75K-100K
Employment Manager (Evid-Based,DBH,13,114440.64,1992-06-01,MSS - Reg,1992,34,13.0,100K-125K
Psychiatric Nurse,DBH,09,115907.0,2013-05-20,CS - Reg,2013,13,9.0,100K-125K
Psychiatric Nurse,DBH,11,113778.0,2020-01-21,CS - Reg,2020,6,11.0,100K-125K
Director Of Nursing Operations,DBH,14,131356.71,2013-02-25,MSS - Reg,2013,13,14.0,125K-150K
Clinical Psychologist,DBH,13,130720.0,2004-09-27,CS - Reg,2004,22,13.0,125K-150K
Compliance Specialist,DBH,13,120451.0,2020-02-03,CS - Reg,2020,6,13.0,100K-125K
Social Worker,DBH,12,118558.0,1998-01-12,CS - Reg,1998,28,12.0,100K-125K
Psychiatric Nurse,DBH,09,52345.5,2022-06-21,CS - Reg,2022,4,9.0,50K-75K
Deputy Director Of Accountabil,DBH,16,171427.26,2012-02-27,MSS - Reg,2012,14,16.0,150K+
Psychiatric Nurse,DBH,09,97212.0,2024-11-04,CS - Reg,2024,2,9.0,75K-100K
Behavioral Health Technician,DBH,08,65513.0,2017-05-01,CS - Reg,2017,9,8.0,50K-75K
Behavioral Health Technician,DBH,08,67315.0,2019-11-25,CS - Reg,2019,7,8.0,50K-75K
Lead Comm Behavioral Hlth Spec,DBH,12,98412.0,2020-10-19,CS - Reg,2020,6,12.0,75K-100K
Supvy Early Childhood Clin Spe,DBH,13,109464.95,2010-04-26,MSS - Reg,2010,16,13.0,100K-125K
Psychiatric Nurse,DBH,11,125970.0,2005-11-28,CS - Reg,2005,21,11.0,125K-150K
Medical Officer Psych Res,DBH,00,70325.0,2025-09-25,CS - Temp,2025,1,0.0,50K-75K
Addiction Counselor,DBH,09,78046.0,2015-12-28,CS - Reg,2015,11,9.0,75K-100K
Mental Hlth Spec,DBH,11,82111.0,2022-04-26,CS - Reg,2022,4,11.0,75K-100K
Health Systems Specialist,DBH,13,123873.0,2018-04-30,CS - Reg,2018,8,13.0,100K-125K
Program Support Assistant Typi,DBH,07,67548.0,2005-10-31,CS - Reg,2005,21,7.0,50K-75K
Behavioral Health Technician,DBH,08,72721.0,2008-12-22,CS - Reg,2008,18,8.0,50K-75K
Supervisory Pharmacist,DBH,14,160216.55,2018-01-22,MSS - Reg,2018,8,14.0,150K+
Psychology Fellow,DBH,11,74933.0,2025-09-22,CS - Temp,2025,1,11.0,50K-75K
Comm Behavioral Hlth Spec,DBH,11,79705.0,2022-12-19,CS - Term,2022,4,11.0,75K-100K
Positive Beh Supp Data Anal,DBH,12,112802.0,2010-08-16,CS - Reg,2010,16,12.0,100K-125K
